city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Mount Vista,Mount Vista,,45.7373,-122.6315,United States,US,USA,Washington,Washington,US-WA,state,,704.0,9544.0,9544.0,3,America/Los_Angeles,False,1840037858
Carlisle West,Carlisle West,,47.1523,-124.108,United States,US,USA,Washington,Washington,US-WA,state,,6.7,,,5,America/Los_Angeles,False,1840120450
Mill Creek,Mill Creek,,47.8631,-122.2037,United States,US,USA,Washington,Washington,US-WA,state,,1737.0,20897.0,20897.0,3,America/Los_Angeles,False,1840019790
Agate Bay,Agate Bay,,48.7559,-122.3554,United States,US,USA,Washington,Washington,US-WA,state,,269.9,,,4,America/Los_Angeles,False,1840120755
Decatur,Decatur,,48.5004,-122.8196,United States,US,USA,Washington,Washington,US-WA,state,,14.4,,,4,America/Los_Angeles,False,1840120756
Littell,Littell,,46.6368,-123.0354,United States,US,USA,Washington,Washington,US-WA,state,,59.9,,,4,America/Los_Angeles,False,1840119582
Granite Falls,Granite Falls,,48.0874,-121.9706,United States,US,USA,Washington,Washington,US-WA,state,,745.0,7713.0,4234.0,3,America/Los_Angeles,False,1840019787
Granger,Granger,,46.3455,-120.1926,United States,US,USA,Washington,Washington,US-WA,state,,854.0,3830.0,3830.0,3,America/Los_Angeles,False,1840019872
Cohassett,Cohassett,,46.8726,-124.1066,United States,US,USA,Washington,Washington,US-WA,state,,425.4,,,4,America/Los_Angeles,False,1840120376
Melbourne,Melbourne,,46.9454,-123.626,United States,US,USA,Washington,Washington,US-WA,state,,20.7,,,4,America/Los_Angeles,False,1840037502
Pleasant Hill,Pleasant Hill,,47.6154,-121.9096,United States,US,USA,Washington,Washington,US-WA,state,,25.8,,,4,America/Los_Angeles,False,1840141743
Rimrock,Rimrock,,46.6643,-121.1251,United States,US,USA,Washington,Washington,US-WA,state,,4.3,,,5,America/Los_Angeles,False,1840120638
Skykomish,Skykomish,,47.7104,-121.3584,United States,US,USA,Washington,Washington,US-WA,state,,270.0,220.0,220.0,3,America/Los_Angeles,False,1840022299
Paradise,Paradise,,46.7862,-121.7354,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840120749
Canyon Creek,Canyon Creek,,48.1157,-121.9831,United States,US,USA,Washington,Washington,US-WA,state,,217.0,3433.0,3433.0,3,America/Los_Angeles,False,1840074181
Highland,Highland,,46.1362,-119.1272,United States,US,USA,Washington,Washington,US-WA,state,,0.2,,,3,America/Los_Angeles,False,1840141802
Cozy Nook,Cozy Nook,,48.3241,-117.7058,United States,US,USA,Washington,Washington,US-WA,state,,25.7,,,4,America/Los_Angeles,False,1840120470
Spring Valley,Spring Valley,,47.2746,-117.2846,United States,US,USA,Washington,Washington,US-WA,state,,0.6,,,5,America/Los_Angeles,False,1840120041
Stateline,Stateline,,46.001,-118.4144,United States,US,USA,Washington,Washington,US-WA,state,,102.6,,,4,America/Los_Angeles,False,1840120043
Staley,Staley,,46.6696,-117.1485,United States,US,USA,Washington,Washington,US-WA,state,,2.6,,,5,America/Los_Angeles,False,1840120042
Stentz Spring,Stentz Spring,,46.2279,-117.5791,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840120045
Stella,Stella,,46.1907,-123.1198,United States,US,USA,Washington,Washington,US-WA,state,,33.4,,,4,America/Los_Angeles,False,1840120044
St. John,St. John,Saint John,47.0915,-117.5887,United States,US,USA,Washington,Washington,US-WA,state,,321.0,559.0,559.0,3,America/Los_Angeles,False,1840021139
Sunny Shore Acres,Sunny Shore Acres,,48.1087,-122.4068,United States,US,USA,Washington,Washington,US-WA,state,,183.8,,,4,America/Los_Angeles,False,1840120390
Kalaloch,Kalaloch,,47.6045,-124.3724,United States,US,USA,Washington,Washington,US-WA,state,,0.1,,,5,America/Los_Angeles,False,1840033762
Hazel,Hazel,,48.2773,-121.809,United States,US,USA,Washington,Washington,US-WA,state,,7.7,,,5,America/Los_Angeles,False,1840120541
Washtucna,Washtucna,,46.7539,-118.3106,United States,US,USA,Washington,Washington,US-WA,state,,121.0,208.0,208.0,3,America/Los_Angeles,False,1840022312
Waterville,Waterville,,47.648,-120.0707,United States,US,USA,Washington,Washington,US-WA,state,,541.0,1213.0,1213.0,3,America/Los_Angeles,False,1840022287
